population,plotID,moisture,pH,organic_matter,aluminum,Arsenic,Boron,Barium,Calcium,Cadmium,Cobalt,Chromium,Copper,Iron,Potassium,Magnesium,Manganese,Sodium,Nickel,Phosphorus,Lead,Sulfur,Selenium,Silicon,Strontium,Zinc,NH4-N,NO3_NO2,Ca_Mg_Ratio
WestwardRidge,1,7.0971,6.483,6.3448,4.8337,0.0253,0.4033,8.8085,244.8241,0.0118,0.3277,0.3814,0.1018,2.3196,158.5117,4431.0878,11.3588,56.6427,34.4355,1.8528,0.1408,5.0652,0.0406,70.1544,3.0012,0.3118,12.1163,3.1561,0.0553
WestwardRidge,2,5.5471,6.413,3.5793,7.7707,0.0358,0.1484,4.0912,200.6727,0.0103,0.1624,0.3157,0.082,2.9019,121.7602,3195.9784,5.2497,52.3593,32.9784,1.1136,0.1715,4.0817,0.0324,56.7082,2.5063,0.2416,6.8053,2.4702,0.0628
WestwardRidge,3,7.4524,6.578,6.726,4.5771,0.0197,0.339,6.3796,281.5682,0.0078,0.4143,0.4049,0.0654,2.6847,153.6386,4731.792,14.8589,57.4464,49.2064,1.8251,0.0942,5.0865,0.0358,73.088,3.3265,0.2708,12.6005,4.6363,0.0595
WestwardRidge,4,5.1373,6.55,4.274,7.8383,0.0335,0.1872,4.2794,288.772,0.0124,0.4032,0.3162,0.1969,2.2081,150.5798,3453.5798,13.5887,44.9269,40.3748,1.5678,0.1291,3.9492,0.0366,56.3777,2.877,0.3537,8.525,1.7011,0.0836
Calamagrostis,6,6.5251,6.467,6.0913,4.5051,0.0182,0.2558,4.1857,328.4699,0.0082,0.3495,0.3104,0.207,1.9769,198.2947,3800.5136,13.2799,53.6931,46.5256,1.9467,0.1351,4.1221,0.0374,77.4947,4.1098,0.349,9.1468,1.9012,0.0864
Calamagrostis,7,6.5946,6.514,5.8464,4.5553,0.0254,0.2652,3.7543,341.6689,0.0066,0.2736,0.3489,0.0445,1.9564,193.7327,3874.8195,9.8157,49.2949,48.4824,1.8732,0.0808,3.7941,0.037,82.3583,4.2645,0.1944,11.3688,0.9422,0.0882
Calamagrostis,8,5.9537,6.59,5.2272,7.9479,0.0235,0.2063,2.5439,320.2344,0.0065,0.297,0.398,0.0217,2.6595,184.3134,3359.6642,9.3208,49.0637,57.5646,1.5246,0.0628,3.7142,0.0395,83.2536,4.1876,0.178,7.3861,1.149,0.0953
Taylor,12,5.2948,6.244,4.9746,9.532,0.0321,0.1806,5.9122,350.7312,0.0345,0.5912,0.3842,0.2179,3.337,162.8657,3070.3926,16.8379,54.4757,67.7775,1.9922,0.1875,5.5234,0.0424,61.4359,4.1227,0.6371,9.889,4.1951,0.1142
Taylor,13,4.1396,6.27,5.427,12.6928,0.0388,0.1617,6.2329,447.2473,0.0316,0.583,0.3984,0.0704,2.6248,265.9792,2408.584,15.1133,45.6634,33.547,2.989,0.205,6.0238,0.0449,58.4301,5.0235,0.4936,8.5819,1.8811,0.1857
FernGulch,14,6.0262,6.499,5.6563,8.8869,0.0223,0.1937,4.13,326.3456,0.0237,0.3931,0.4604,0.11,2.9098,232.1378,3515.8806,13.7956,53.389,42.5801,1.9898,0.1888,4.5315,0.0394,70.3883,3.5501,0.4531,8.5648,2.173,0.0928
FernGulch,15,6.3215,6.392,6.0818,10.1611,0.0192,0.2125,4.2157,550.8871,0.0235,0.5188,0.57,0.1049,3.6781,292.3502,3685.0897,15.779,65.3823,49.9788,2.2695,0.2934,5.6405,0.046,75.6696,6.6985,0.4535,10.2676,4.3942,0.1495
SanQuentin,16,6.7427,6.463,5.493,7.1144,0.0286,0.1978,5.2271,276.7393,0.0124,0.3431,0.3386,0.1282,3.1826,179.9159,3980.0206,13.4526,56.91,58.5615,1.3882,0.0735,4.3797,0.0428,76.1619,3.836,0.2346,9.7611,2.9769,0.0695
SanQuentin,17,6.5859,6.479,5.2184,8.0028,0.0186,0.1688,4.4701,311.0373,0.0156,0.3651,0.3209,0.1094,2.9503,205.5767,3770.3104,13.5271,53.7204,57.0308,1.2379,0.0817,3.8578,0.0348,77.8527,4.0342,0.2654,9.3268,3.0745,0.0825
PetroglyphRock,19,5.7069,6.488,4.9608,7.7592,0.0313,0.143,4.9623,356.2254,0.0199,0.4414,0.3093,0.0284,2.3981,205.9494,3098.7,14.863,47.9841,78.1737,2.1021,0.0806,4.5931,0.0394,73.9949,4.5948,0.2808,10.9789,3.9421,0.115
PetroglyphRock,21,6.2467,6.452,4.9522,6.6039,0.0242,0.1805,5.1045,323.2676,0.0124,0.4828,0.3414,0.1136,2.4614,191.3127,3679.6915,16.4265,52.9969,65.2292,1.8785,0.0725,4.8215,0.0375,70.4684,4.051,0.2896,10.4658,1.5867,0.0879
PetroglyphRock,22,6.4465,6.447,5.8292,4.8854,0.0177,0.2525,6.6021,301.7197,0.0191,0.5324,0.3271,0.1321,2.2969,178.7399,3762.5655,19.996,57.3157,54.6865,2.0617,0.0935,5.4866,0.0411,71.5971,4.0709,0.4044,11.6654,3.7388,0.0802
PetroglyphRock,24,6.6631,6.546,5.9761,4.9621,0.0227,0.2276,4.564,357.1883,0.0172,0.5943,0.3633,0.1359,2.3551,198.7026,3814.3905,22.1184,51.2914,55.4364,2.641,0.1018,5.4632,0.0386,71.9531,4.1952,0.3756,11.3335,3.2673,0.0936
PetroglyphRock,24,6.6631,6.546,5.9761,4.9621,0.0227,0.2276,4.564,357.1883,0.0172,0.5943,0.3633,0.1359,2.3551,198.7026,3814.3905,22.1184,51.2914,55.4364,2.641,0.1018,5.4632,0.0386,71.9531,4.1952,0.3756,11.3335,3.2673,0.0936
WestwardRidge,5,6.0021,6.661,3.6179,10.8619,0.0205,0.1732,4.123,238.1989,0.0025,0.3264,0.3231,0.0747,2.615,123.5432,3731.7066,11.1558,59.4679,33.0524,1.2651,0.073,3.5001,0.037,62.7671,2.8462,0.162,9.3543,2.2559,0.0638
UpperTaylor,9,6.5625,6.648,5.0376,7.6823,0.0131,0.1531,5.9677,330.4831,0.0056,0.3375,0.3794,0.0988,2.5135,156.2299,3776.9372,14.0811,48.6921,63.8762,1.6159,0.0386,3.8128,0.0358,82.1098,3.8469,0.2277,8.1558,4.6381,0.0875
UpperTaylor,10,6.2561,6.544,5.0985,7.1317,0.0173,0.1768,8.8089,330.587,0.0094,0.3351,0.3264,0.1076,2.3689,187.0381,3682.2193,11.591,49.1943,48.3117,1.2621,0.0674,3.5534,0.0344,69.3639,4.0426,0.236,7.3736,2.081,0.0898
Taylor,11,6.25,6.517,5.0978,5.1905,0.0172,0.2343,5.0872,291.3679,0.0098,0.3211,0.3258,0.0302,2.0527,148.8686,3649.9912,13.1005,56.338,37.1969,1.645,0.0856,4.5632,0.0401,70.2202,3.6637,0.2643,9.6203,0.8951,0.0798
SanQuentin,18,4.2873,6.328,4.5344,9.4912,0.0411,0.1339,5.4989,331.5882,0.0209,0.3912,0.2395,0.1329,2.6385,176.2123,2885.491,12.6238,60.644,34.9723,2.2542,0.1544,4.9875,0.0422,55.0336,3.8438,0.3917,9.158,3.5751,0.1149
PetroglyphRock,20,6.3543,6.542,5.6469,5.8833,0.0249,0.2169,4.2767,331.4863,0.0131,0.4829,0.3196,0.0473,2.389,194.002,3624.3064,17.0332,51.1709,58.271,2.1219,0.0791,4.87,0.038,70.7619,4.2178,0.2401,11.398,4.8776,0.0915
PetroglyphRock,23,6.6443,6.535,6.2592,4.6055,0.0162,0.2882,6.5399,307.0656,0.0177,0.5269,0.3127,0.0883,2.2043,209.1871,3820.6896,18.0617,62.5137,53.4554,1.9288,0.1083,5.4913,0.0396,72.2434,4.0494,0.3919,11.3506,2.0638,0.0804
